Sample Number,Date event 1,Tap Stand ID,Time event 1,FRC (mg/l),TRC (mg/l),Temp (Cent) ,Container,Cont.Colour,Cont.Opacity,Cont.Covered,Cont.Clean,HH Ident,Same Cont.,Same Water,How full (%),Method Drawing,Cont.type,Cont.colour,Cont.opacity,Cont.covered,Cont.Clean,Cont.outside,Date event 2,Time vent 2,FRC (mg/l),TRC (mg/l),Temp (Cent),Time Substract,Time Elapsed,FRC (Tap-HH),TRC (Tap-HH)
1,05-Sep-16,54,9:40,0.65,0.64,28,Jerry Can,White,Translucent,Yes,Yes,2E/EXT/5002,Yes,Yes,10,Pour  out,Jerry Can,White,Translucent,Yes,Yes,Yes,06-Sep-16,8:30,0.1,0.11,30,22:50:00,22.83,0.55,0.53
2,05-Sep-16,54,10:00,0.69,0.68,28,Bucket,Green,Opaque,No,Yes,3Q/1/006,Yes,Yes,60,Dip Glass,Bucket,Green,Opaque,No,Yes,No,06-Sep-16,8:45,0.14,0.17,30,22:45:00,22.75,0.55,0.51
3,05-Sep-16,54,10:25,0.68,0.69,28,Bucket,White,Opaque,Yes,No,4B/ET/004,Yes,Yes,15,Dip Glass,Bucket,White,Opaque,No,No,No,06-Sep-16,9:00,0.09,0.14,30,22:35:00,22.58,0.59,0.55
4,05-Sep-16,40,10:59,0.6,0.62,28,Jerry Can,White,Translucent,Yes,No,4C/8/007,Yes,Yes,19,Pour  out,Jerry Can,White,Translucent,Yes,No,Yes,06-Sep-16,9:15,0.48,0.53,30,22:16:00,22.27,0.12,0.09
5,05-Sep-16,40,11:40,0.6,0.73,28,Jerry Can,White,Translucent,No,No,3P/6/006,No,No,80,Dip Glass,Others,Blue,Opaque,No,No,No,06-Sep-16,9:30,0.14,0.21,30,21:50:00,21.83,0.46,0.52
6,05-Sep-16,40,15:30,0.69,0.78,28,Jerry Can,White,Translucent,No,No,5B/4/002,Yes,Yes,98,Pour  out,Jerry Can,White,Translucent,No,No,No,06-Sep-16,9:48,0.63,0.65,30,18:18:00,18.3,0.06,0.13
7,05-Sep-16,18,16:20,0.61,0.77,28,Bucket,White,Opaque,No,No,5D/1/007,Yes,Yes,18,Dip Glass,Bucket,White,Opaque,No,No,No,06-Sep-16,17:30,0.01,0.07,30,1:10:00,25.17,0.6,0.7
8,06-Sep-16,18,10:08,0.61,0.68,30,Bucket,Blue,Opaque,No,Yes,5D/3/008,Yes,Yes,15,Dip Glass,Bucket,Blue,Opaque,No,Yes,No,07-Sep-16,10:57,0.32,0.43,29,0:49:00,24.82,0.29,0.25
9,06-Sep-16,18,10:20,0.61,0.66,30,Bucket,Blue,Opaque,No,Yes,5C/2/003,No,Yes,50,Pour  out,Jerry Can,Yellow,Opaque,No,No,No,07-Sep-16,10:40,0.44,0.57,29,0:20:00,24.33,0.17,0.09
10,06-Sep-16,17,10:40,0.6,0.63,30,Bucket,Blue,Opaque,Yes,No,,No,No,25,Dip Glass,Bucket,Blue,Opaque,Yes,No,No,07-Sep-16,11:35,0.01,0.01,29,0:55:00,24.92,0.59,0.62
11,06-Sep-16,17,10:50,0.6,0.63,30,Jerry Can,Green,Opaque,Yes,No,4O/7/004,Yes,Yes,15,Pour  out,Jerry Can,Green,Opaque,Yes,No,No,07-Sep-16,11:00,0.55,0.58,29,0:10:00,24.17,0.05,0.05
12,06-Sep-16,17,11:30,0.67,0.65,30,Bucket,Blue,Opaque,Yes,No,4N/4/001,No,No,5,Pour  out,Others,Blue,Opaque,No,No,No,07-Sep-16,11:00,0.01,0.23,29,23:30:00,23.5,0.66,0.42
13,06-Sep-16,42,16:59,0.65,0.69,30,Bucket,White,Opaque,Yes,Yes,,Yes,Yes,100,Dip Glass,Bucket,White,Opaque,Yes,Yes,No,07-Sep-16,10:00,0.6,0.62,29,17:01:00,17.02,0.05,0.07
14,06-Sep-16,42,16:09,0.65,0.67,30,Jerry Can,yellow,Opaque,No,No,,Yes,Yes,15,Pour  out,Jerry Can,Yellow,Opaque,No,No,No,07-Sep-16,10:00,0.47,0.49,29,17:51:00,17.85,0.18,0.18
15,06-Sep-16,42,16:40,0.65,0.68,30,Bucket,Blue,Opaque,No,No,,Yes,Yes,100,Dip Glass,Bucket,Blue,Opaque,No,No,No,07-Sep-16,10:25,0.36,0.46,29,17:45:00,17.75,0.29,0.22
16,06-Sep-16,53,14:30,0.52,1,30,Bucket,White,Opaque,No,No,,Yes,No,20,Pour  out,Bucket,White,Opaque,No,No,No,07-Sep-16,9:00,0.6,0.7,29,18:30:00,18.5,-0.08,0.3
17,06-Sep-16,53,15:00,0.52,0.58,30,Bucket,White,Opaque,Yes,No,,Yes,Yes,100,Dip Glass,Bucket,White,Opaque,No,No,No,07-Sep-16,9:15,0.46,0.5,29,18:15:00,18.25,0.06,0.08
18,06-Sep-16,53,15:39,0.6,0.62,30,Jerry Can,White,Translucent,No,No,,Yes,Yes,100,Pour  out,Jerry Can,White,Translucent,No,No,No,07-Sep-16,8:40,0.58,0.59,29,17:01:00,17.02,0.02,0.03
19,07-Sep-16,30,16:06,0.55,0.76,29,Jerry Can,White,Translucent,No,Yes,2L/5/004,Yes,Yes,100,Pour  out,Jerry Can,White,Translucent,No,Yes,No,08-Sep-16,9:59,0.46,0.53,30,17:53:00,17.88,0.09,0.23
20,07-Sep-16,30,16:18,0.5,0.7,29,Jerry Can,White,Translucent,No,No,2G/3/004,Yes,Yes,27,Pour  out,Jerry Can,White,Translucent,No,No,No,08-Sep-16,10:08,0.44,0.46,30,17:50:00,17.83,0.06,0.24
21,07-Sep-16,30,16:25,0.51,0.69,29,Bucket,Blue,Opaque,Yes,No,2F/3/004,No,Yes,50,Dip Glass,Bucket,White,Opaque,No,Yes,No,08-Sep-16,10:23,0.14,0.15,30,17:58:00,17.97,0.37,0.54
22,07-Sep-16,31,15:42,0.51,0.79,29,Jerry Can,White,Translucent,Yes,Yes,28/2/0011,Yes,Yes,10,Pour  out,Jerry Can,White,Opaque,Yes,Yes,No,08-Sep-16,9:43,0.33,0.34,30,18:01:00,18.02,0.18,0.45
23,07-Sep-16,31,15:54,0.5,0.78,29,Jerry Can,White,Translucent,Yes,Yes,2DEXT/4/002,Yes,Yes,15,Pour  out,Jerry Can,White,Translucent,No,Yes,No,08-Sep-16,9:05,0.44,0.5,30,17:11:00,17.18,0.06,0.28
24,07-Sep-16,31,15:22,0.52,0.82,29,Jerry Can,White,Translucent,Yes,No,28/S/006,Yes,Yes,100,Pour  out,Jerry Can,White,Translucent,Yes,No,No,08-Sep-16,9:29,0.51,0.56,30,18:07:00,18.12,0.01,0.26
25,07-Sep-16,29,17:00,0.53,0.55,29,Jerry Can,White,Translucent,Yes,No,3A/5/006,Yes,Yes,25,Pour  out,Jerry Can,White,Translucent,No,No,No,08-Sep-16,9:14,0.38,0.64,30,16:14:00,16.23,0.15,-0.09
26,07-Sep-16,29,16:26,0.54,0.59,29,Jerry Can,White,Translucent,No,Yes,3A/3/006,Yes,Yes,20,Pour  out,Jerry Can,White,Translucent,No,No,No,08-Sep-16,9:35,0.06,0.07,30,17:09:00,17.15,0.48,0.52
27,07-Sep-16,29,16:40,0.54,0.56,29,Jerry Can,White,Translucent,Yes,Yes,3A/3/007,Yes,Yes,19,Pour  out,Jerry Can,White,Translucent,Yes,Yes,No,08-Sep-16,9:43,0.44,0.47,30,17:03:00,17.05,0.1,0.09
28,07-Sep-16,28,15:30,0.48,0.53,29,Jerry Can,yellow,Opaque,No,No,3B/3/001,Yes,Yes,10,Pour  out,Jerry Can,Yellow,Opaque,No,No,No,08-Sep-16,10:05,0.43,0.44,30,18:35:00,18.58,0.05,0.09
29,07-Sep-16,30,15:15,0.45,0.47,29,Bucket,Green,Opaque,Yes,Yes,,Yes,Yes,50,Dip Glass,Bucket,Green,Opaque,Yes,Yes,No,08-Sep-16,17:10,0.06,0.11,30,1:55:00,25.92,0.39,0.36
30,07-Sep-16,27,16:40,0.47,0.47,29,Jerry Can,White,Translucent,Yes,Yes,3N/1/007,Yes,Yes,17,Pour  out,Jerry Can,White,Translucent,Yes,Yes,No,08-Sep-16,10:40,0.37,0.4,30,18:00:00,18,0.1,0.07
31,07-Sep-16,27,16:52,0.46,0.48,29,Bucket,Blue,Opaque,Yes,No,ET/3N/1/005,Yes,Yes,15,Dip Glass,Bucket,Blue,Opaque,Yes,No,No,08-Sep-16,11:25,0.1,0.05,30,18:33:00,18.55,0.36,0.43
32,07-Sep-16,28,16:01,0.56,0.62,29,Bucket,Red,Opaque,Yes,Yes,3B/3/006,No,Yes,10,Pour  out,Jerry Can,White,Translucent,No,Yes,No,08-Sep-16,9:58,0.01,0.02,30,17:57:00,17.95,0.55,0.6
33,07-Sep-16,28,16:09,0.53,0.6,29,Jerry Can,White,Translucent,Yes,Yes,3B/6/003,Yes,Yes,100,Pour  out,Jerry Can,,,,,,08-Sep-16,10:12,0.44,0.45,30,18:03:00,18.05,0.09,0.15
34,08-Sep-16,79,11:40,0.9,0.99,30,Jerry Can,White,Translucent,No,No,6E/6/006,No,Yes,10,Pour  out,Others,White,Translucent,Yes,Yes,No,09-Sep-16,10:00,0.2,0.22,30,22:20:00,22.33,0.7,0.77
35,08-Sep-16,78,15:00,0.68,0.71,30,Bucket,Blue,Opaque,No,m,1E/5/001,No,Yes,15,Dip Glass,Bucket,Blue,Opaque,Yes,Yes,No,09-Sep-16,9:27,0.28,0.3,30,18:27:00,18.45,0.4,0.41
36,08-Sep-16,78,15:10,0.66,0.71,30,Jerry Can,White,Translucent,Yes,Yes,6O/8/003,Yes,Yes,100,Pour  out,Jerry Can,White,Translucent,Yes,Yes,No,09-Sep-16,9:46,0.41,0.43,30,18:36:00,18.6,0.25,0.28
